playerID,year,CrushA,CrushTD,CrushY,CrushGP,CrecA,CrecTD,CrecY,CrecGP,CpassA,CpassTD,CpassY,CpassGP
'omarellison/2500540,1995,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'omarellison/2500540,1996,0,0,0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
a.j.derby/2552580,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.j.feeley/2504566,2004,12,0,6,6.0,0.0,0.0,0.0,0.0,168.0,8.0,1154.0,7.0
a.j.feeley/2504566,2001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.j.feeley/2504566,2002,0,0,0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,143.0,1.0
a.j.feeley/2504566,2006,26,1,19,17.0,0.0,0.0,0.0,0.0,524.0,19.0,3047.0,18.0
a.j.feeley/2504566,2007,27,1,22,19.0,0.0,0.0,0.0,0.0,562.0,22.0,3389.0,20.0
a.j.feeley/2504566,2011,34,1,45,22.0,0.0,0.0,0.0,0.0,665.0,27.0,4070.0,23.0
a.j.green/2495450,2011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.j.green/2495450,2012,5,0,53,15.0,65.0,7.0,1057.0,15.0,0.0,0.0,0.0,0.0
a.j.green/2495450,2013,9,0,91,31.0,162.0,18.0,2407.0,31.0,0.0,0.0,0.0,0.0
a.j.green/2495450,2014,9,0,91,31.0,260.0,29.0,3833.0,47.0,0.0,0.0,0.0,0.0
a.j.green/2495450,2015,11,0,93,44.0,329.0,35.0,4874.0,60.0,0.0,0.0,0.0,0.0
a.j.green/2495450,2016,11,0,93,44.0,415.0,45.0,6171.0,76.0,0.0,0.0,0.0,0.0
a.j.jenkins/2532876,2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.j.jenkins/2532876,2014,2,0,6,16.0,8.0,0.0,130.0,16.0,0.0,0.0,0.0,0.0
a.j.ofodile/2502342,1999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.j.schable/2506734,2006,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaronbailey/2499487,1994,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaronbailey/2499487,1995,0,0,0,0.0,2.0,0.0,30.0,13.0,0.0,0.0,0.0,0.0
aaronbailey/2499487,1996,1,0,34,15.0,23.0,3.0,409.0,28.0,0.0,0.0,0.0,0.0
aaronbailey/2499487,1997,1,0,34,15.0,41.0,3.0,711.0,42.0,0.0,0.0,0.0,0.0
aaronburbridge/2555362,2016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aarondobson/2539256,2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aarondobson/2539256,2014,0,0,0,0.0,37.0,4.0,519.0,12.0,0.0,0.0,0.0,0.0
aarondobson/2539256,2015,0,0,0,0.0,40.0,4.0,557.0,16.0,0.0,0.0,0.0,0.0
